Name,first,affiliation,occupation,epithet,status,age,bounty,residence,dfname,last_bounty,latest_age,main_crew
Shanks,Chapter 1; Episode 4[1],Red Hair Pirates;[2]Four Emperors;[3]Roger Pirates (former)[4],Chief;[5] Emperor;[3] Apprentice (former)[4],"""Red-Haired Shanks"" (赤髪のシャンクス, Akagami no Shankusu?)[5]",Alive,27 (debut);[7]37 (pre-timeskip);39 (after timeskip)[6],"4,048,900,000[10]1,040,000,000[11]",,,4048900000.0,39,Red Hair Pirates
Monkey D. Luffy,Chapter 1;[1] Episode 1[2],"Straw Hat Pirates;Straw Hat Grand Fleet;Four Emperors;Dadan Family (former);Baratie (temporary, former);[3]Impel Down (former);Ninja-Pirate-Mink-Samurai Alliance (disbanded)","Pirate Captain;[2] Emperor;[4] Senior Captain of the Grand Fleet; Prisoner (former); Chore Boy (temporary, former);[3] Bandit (former)","Straw Hat Luffy (麦わらのルフィ, Mugiwara no Rufi?)[10]",Alive,7 (debut);17 (debut);[11]19 (after timeskip)[12][13],"3,000,000,000[17]1,500,000,000[18]500,000,000[19]400,000,000[20]300,000,000[21]100,000,000[22]30,000,000[23]",Foosha Village (former);Mt. Colubo (former);Rusukaina (former),"Gomu Gomu no Mi(Hito Hito no Mi, Model: Nika)",3000000000.0,19,Straw Hat Pirates
Nami,Chapter 8; Episode 1[1]Chapter 1 (cover),"Straw Hat Pirates;Straw Hat Grand Fleet;Arlong Pirates[2] (defected);Ganzack Pirates (movie, former);Golden Lion Pirates (movie, former);[3]Ninja-Pirate-Mink-Samurai Alliance (disbanded)","Navigator; Pirate; Senior Officer;[4] Thief;[5] Pirate Officer (Arlong Pirates, former);[2] Kunoichi (temporary)[6]","Cat Burglar (泥棒猫, Dorobō Neko?)[11]",Alive,18 (debut)[12]20 (after timeskip)[13][14],"366,000,000[4]66,000,000[18]16,000,000[11]","Cocoyasi Village (former);Weatheria (former, temporary)",,366000000.0,20,Straw Hat Pirates
Alvida,Chapter 2; Episode 1[1],"Cross Guild;[2] Buggy's Delivery,[3] Buggy and Alvida Alliance; Buggy Pirates (Acting Captain, temporarily); Alvida Pirates (formerly)",Pirate Captain;[1],"""Iron Mace"" (金棒, Kanabō?, English versions: ""Iron Club"")[1]",Alive,25 (debut)27 (after timeskip)[4],"5,000,000[4]",Karai Bari Island[3]; Goat Island (former),Sube Sube no Mi,5000000.0,27,Cross Guild
Koby,Chapter 2; Episode 1[1],"Marines (SWORD), Marine 153rd Branch (former);[2] Alvida Pirates (defected)[1]","Marine Captain;[3][4] Master Chief Petty Officer (promoted),[5] Chore Boy (promoted);[6] Pirate Ship Caretaker (former)[1]","""Hero"" (英雄, Eiyū?)[9]",Alive,16 (debut)18 (after timeskip)[7],"★★★★★(500,000,000)[10]",Shells Town (former); Goat Island (former),,500000000.0,18,"Marines  , Marine 153rd Branch  "
Roronoa Zoro,Chapter 3; Episode 1[1],Straw Hat Pirates;[2]Straw Hat Grand Fleet;Shimotsuki Family (descended);[3]Ninja-Pirate-Mink-Samurai Alliance (disbanded),Swordsman; Pirate;[2] Crew Combatant; Senior Officer;[4] Rōnin (temporary);[5] Bounty Hunter (former)[6],"""Pirate Hunter Zoro"" (海賊狩りのゾロ, Kaizoku Gari no Zoro?)[9]",Alive,19 (debut)[10]21 (after timeskip)[11][12],"1,111,000,000[4][16]320,000,000[17]120,000,000[18]60,000,000[19]","Shimotsuki Village (former);Kuraigana Island (former, temporary)",,1111000000.0,21,Straw Hat Pirates
Buggy,Chapter 9; Episode 4[1],Cross Guild;[2]Buggy's Delivery; ?[3]Buggy Pirates;[4]Buggy and Alvida Alliance;[5]Four Emperors;[6]Seven Warlords of the Sea;[7] (former);Roger Pirates;[8] (former);Impel Down[9] (former),Pirate Captain;[4] Emperor;[6] Figurehead President of Cross Guild;[2] Chairman of Buggy's Delivery;[3] (former); Warlord of the Sea;[7] (former); Apprentice;[8] (former); Prisoner of the Great Prison[9] (former),"""Buggy the Clown"" (道化のバギー, Dōke no Bagī?)[4]""Buggy the Star Clown"" (千両道化のバギー, Senryō Dōke no Bagī?, English versions: Buggy the Genius Jester)[7]",Alive,37 (debut);39 (after timeskip)[10],"3,189,000,000[13]15,000,000[14]",Karai Bari Island;[3]Orange Town (former)[1],Bara Bara no Mi,3189000000.0,39,Cross Guild
Kuro,Chapter 23; Episode 9[1],Black Cat Pirates,Pirate; Captain (former); Butler (former),"""Kuro of a Hundred Plans"" (百計のクロ, Hyakkei no Kuro?, English: ""Kuro of a Thousand Plans"")",Alive,33 (debut)35 (after timeskip)[2],"16,000,000[5][6]",Syrup Village (former),,16000000.0,35,Black Cat Pirates
Usopp,Chapter 23; Episode 8[1],Straw Hat Pirates;Straw Hat Grand Fleet;Usopp Pirates (disbanded);Ninja-Pirate-Mink-Samurai Alliance (disbanded),Sniper; Pirate; Senior Officer;[2] Captain (former); Toad Oil Salesman (temporary)[3],"""King of Snipers"" (狙撃の王様, Sogeki no Ō-sama?, ""Sniper King"" (VIZ));[8]""God"" (ゴッド, Goddo?);[9]""Hana Arashi"" (鼻嵐, Hana Arashi?) (temporary, former)",Alive,17 (debut)[10]19 (after timeskip)[11][12],"500,000,000[2]200,000,000[9]30,000,000[8]","Syrup Village (former);Boin Archipelago (former, temporary)",,500000000.0,19,Straw Hat Pirates
Jango,Chapter 25; Episode 9[1],Marines; Black Cat Pirates (former)[2],"Marine Lieutenant Commander;[3] Marine Seaman Recruit (promoted); Pirate (former); Captain (former),[2] First Mate (former),[4] Dancer (former)","""One-Two"" Jango (as a pirate) (1・2のジャンゴ, Ichi Ni no Jango?);[2]""Jango the Turncoat"" (Marine) (寝返りのジャンゴ, Negaeri no Jango?)[5]",Alive,27 (debut)29 (after timeskip)[6],"9,000,000[8]",,,9000000.0,29,Marines
