Name,first,affiliation,occupation,epithet,status,age,bounty,residence,dfname,last_bounty,latest_age,main_crew
Shanks,Chapter 1; Episode 4[1],Red Hair Pirates;[2]Four Emperors;[3]Roger Pirates (former)[4],Chief;[5] Emperor;[3] Apprentice (former)[4],"""Red-Haired Shanks"" (赤髪のシャンクス, Akagami no Shankusu?)[5]",Alive,27 (debut);[7]37 (pre-timeskip);39 (after timeskip)[6],"4,048,900,000[10]1,040,000,000[11]",,,4048900000.0,39,Red Hair Pirates
Benn Beckman,Chapter 1; Episode 4[1],Red Hair Pirates[1],Pirate;[1] First Mate[2],,Alive,38 (debut);48 (pre-timeskip);50 (after timeskip)[4],Unknown[5],,,,50,Red Hair Pirates 
Lucky Roux,Chapter 1; Episode 4[1],Red Hair Pirates[1],Pirate; Senior Officer;[1] Combatant;[2] Cook[3],,Alive,23 (debut);33 (pre-timeskip);35 (after timeskip)[2],Unknown[2],,,,35,Red Hair Pirates 
Yasopp,Chapter 1; Episode 4[1],Red Hair Pirates[1],Pirate; Senior Officer;[1] Sniper[2],"""Chaser"" (追擊者, Cheisā?)[3]",Alive,35 (debut);45 (pre-timeskip);47 (after timeskip)[3],Unknown[5],Syrup Village (former),,,47,Red Hair Pirates 
Limejuice,Chapter 1; Episode 4[1],Red Hair Pirates[1],Pirate; Senior Officer[1],,Alive,,,,,,,Red Hair Pirates 
Hongo,Chapter 1;[1] Episode 489[2],Red Hair Pirates[1],Pirate; Senior Officer;[1] Doctor[3],,Alive,,,,,,,Red Hair Pirates 
Bonk Punch,Chapter 1; Episode 4[1],Red Hair Pirates[1],Pirate; Senior Officer;[1] Musician[2],,Alive,,,,,,,Red Hair Pirates 
Monster,Chapter 1;[2] Episode 489[3],Red Hair Pirates[4],Pirate; Senior Officer; Musician[5],,Alive,,,,,,,Red Hair Pirates 
Gol D. Roger,Chapter 1; Episode 1[1],Roger Pirates[1],Pirate Captain[1],"Pirate King (海賊王, Kaizoku-Ō?, King of the Pirates (English versions))[1]",Deceased,,"5,564,800,000[6]",,,5564800000.0,,Roger Pirates 
Monkey D. Luffy,Chapter 1;[1] Episode 1[2],"Straw Hat Pirates;Straw Hat Grand Fleet;Four Emperors;Dadan Family (former);Baratie (temporary, former);[3]Impel Down (former);Ninja-Pirate-Mink-Samurai Alliance (disbanded)","Pirate Captain;[2] Emperor;[4] Senior Captain of the Grand Fleet; Prisoner (former); Chore Boy (temporary, former);[3] Bandit (former)","Straw Hat Luffy (麦わらのルフィ, Mugiwara no Rufi?)[10]",Alive,7 (debut);17 (debut);[11]19 (after timeskip)[12][13],"3,000,000,000[17]1,500,000,000[18]500,000,000[19]400,000,000[20]300,000,000[21]100,000,000[22]30,000,000[23]",Foosha Village (former);Mt. Colubo (former);Rusukaina (former),"Gomu Gomu no Mi(Hito Hito no Mi, Model: Nika)",3000000000.0,19,Straw Hat Pirates
