Chapter,Character,Appearance,Appearance Notes,Arc
1.0,Shanks,Shanks,,Romance Dawn
1.0,Benn Beckman,Benn Beckman,,Romance Dawn
1.0,Lucky Roux,Lucky Roux,,Romance Dawn
1.0,Yasopp,Yasopp,,Romance Dawn
1.0,Gold Roger (flashback),Gold Roger ,flashback,Romance Dawn
1.0,Monkey D. Luffy,Monkey D. Luffy,,Romance Dawn
1.0,Nami (cover),Nami ,cover,Romance Dawn
1.0,Makino,Makino,,Romance Dawn
1.0,Woop Slap,Woop Slap,,Romance Dawn
1.0,Gyoru,Gyoru,,Romance Dawn
1.0,Chicken,Chicken,,Romance Dawn
1.0,Anjo (flashback),Anjo ,flashback,Romance Dawn
1.0,Lord of the Coast,Lord of the Coast,,Romance Dawn
1.0,Monster,Monster,,Romance Dawn
1.0,Higuma,Higuma,,Romance Dawn
1.0,Mikio Itoo (on wanted poster),Mikio Itoo ,on wanted poster,Romance Dawn
2.0,Alvida,Alvida,,Romance Dawn
2.0,Heppoko,Heppoko,,Romance Dawn
2.0,Peppoko,Peppoko,,Romance Dawn
2.0,Poppoko,Poppoko,,Romance Dawn
2.0,Monkey D. Luffy,Monkey D. Luffy,,Romance Dawn
2.0,Koby,Koby,,Romance Dawn
2.0,Roronoa Zoro (mentioned only),Roronoa Zoro ,mentioned only,Romance Dawn
3.0,Monkey D. Luffy,Monkey D. Luffy,,Romance Dawn
3.0,Morgan (mentioned only),Morgan ,mentioned only,Romance Dawn
3.0,Helmeppo,Helmeppo,,Romance Dawn
3.0,Rika,Rika,,Romance Dawn
3.0,Koby,Koby,,Romance Dawn
3.0,Roronoa Zoro,Roronoa Zoro,,Romance Dawn
3.0,Soro (flashback),Soro ,flashback,Romance Dawn
3.0,Mikio Itoo (on wanted poster),Mikio Itoo ,on wanted poster,Romance Dawn
4.0,Monkey D. Luffy,Monkey D. Luffy,,Romance Dawn
4.0,Morgan,Morgan,,Romance Dawn
4.0,Rokkaku,Rokkaku,,Romance Dawn
4.0,Ukkari,Ukkari,,Romance Dawn
4.0,Helmeppo,Helmeppo,,Romance Dawn
4.0,Rika,Rika,,Romance Dawn
4.0,Ririka,Ririka,,Romance Dawn
4.0,Koby,Koby,,Romance Dawn
4.0,Roronoa Zoro,Roronoa Zoro,,Romance Dawn
5.0,Monkey D. Luffy,Monkey D. Luffy,,Romance Dawn
5.0,Roronoa Zoro,Roronoa Zoro,,Romance Dawn
5.0,Morgan,Morgan,,Romance Dawn
5.0,Helmeppo,Helmeppo,,Romance Dawn
5.0,Kuina (flashback),Kuina ,flashback,Romance Dawn
5.0,Koushirou (flashback),Koushirou ,flashback,Romance Dawn
5.0,Koby,Koby,,Romance Dawn
6.0,Monkey D. Luffy,Monkey D. Luffy,,Romance Dawn
6.0,Roronoa Zoro,Roronoa Zoro,,Romance Dawn
6.0,Morgan,Morgan,,Romance Dawn
6.0,Helmeppo,Helmeppo,,Romance Dawn
6.0,Koby,Koby,,Romance Dawn
7.0,Monkey D. Luffy,Monkey D. Luffy,,Romance Dawn
7.0,Roronoa Zoro,Roronoa Zoro,,Romance Dawn
7.0,Buggy (shadowed),Buggy ,shadowed,Romance Dawn
7.0,Shanks (shadowed),Shanks ,shadowed,Romance Dawn
7.0,Morgan (K.O),Morgan ,K.O,Romance Dawn
7.0,Ripper,Ripper,,Romance Dawn
7.0,Koby,Koby,,Romance Dawn
7.0,Helmeppo (K.O),Helmeppo ,K.O,Romance Dawn
7.0,Rika,Rika,,Romance Dawn
7.0,Ririka,Ririka,,Romance Dawn
8.0,Monkey D. Luffy,Monkey D. Luffy,,Orange Town
8.0,Roronoa Zoro,Roronoa Zoro,,Orange Town
8.0,Tightrope Walking Funan Bros,Tightrope Walking Funan Bros,,Orange Town
8.0,Superhuman Domingos,Superhuman Domingos,,Orange Town
8.0,Nami,Nami,,Orange Town
8.0,Pinky,Pinky,,Orange Town
9.0,Monkey D. Luffy,Monkey D. Luffy,,Orange Town
9.0,Roronoa Zoro,Roronoa Zoro,,Orange Town
9.0,Buggy,Buggy,,Orange Town
9.0,Mohji,Mohji,,Orange Town
9.0,Richie,Richie,,Orange Town
9.0,Cabaji,Cabaji,,Orange Town
9.0,Tightrope Walking Funan Bros,Tightrope Walking Funan Bros,,Orange Town
9.0,Superhuman Domingos,Superhuman Domingos,,Orange Town
9.0,Domo-kun,Domo-kun,,Orange Town
9.0,Nami,Nami,,Orange Town
10.0,Monkey D. Luffy,Monkey D. Luffy,,Orange Town
10.0,Roronoa Zoro,Roronoa Zoro,,Orange Town
10.0,Buggy,Buggy,,Orange Town
10.0,Acrobatic Fuwas,Acrobatic Fuwas,,Orange Town
10.0,Nami,Nami,,Orange Town
11.0,Monkey D. Luffy,Monkey D. Luffy,,Orange Town
11.0,Roronoa Zoro,Roronoa Zoro,,Orange Town
11.0,Buggy,Buggy,,Orange Town
11.0,Acrobatic Fuwas,Acrobatic Fuwas,,Orange Town
11.0,Nami,Nami,,Orange Town
12.0,Monkey D. Luffy,Monkey D. Luffy,,Orange Town
12.0,Roronoa Zoro,Roronoa Zoro,,Orange Town
12.0,Buggy,Buggy,,Orange Town
12.0,Mohji,Mohji,,Orange Town
12.0,Richie,Richie,,Orange Town
12.0,Acrobatic Fuwas,Acrobatic Fuwas,,Orange Town
12.0,Nami,Nami,,Orange Town
12.0,Boodle,Boodle,,Orange Town
12.0,Chouchou,Chouchou,,Orange Town
12.0,Hocker (flashback),Hocker ,flashback,Orange Town
13.0,Monkey D. Luffy,Monkey D. Luffy,,Orange Town
13.0,Buggy,Buggy,,Orange Town
13.0,Mohji,Mohji,,Orange Town
13.0,Richie,Richie,,Orange Town
13.0,Nami,Nami,,Orange Town
13.0,Boodle,Boodle,,Orange Town
13.0,Chouchou,Chouchou,,Orange Town
13.0,Hocker (flashback),Hocker ,flashback,Orange Town
14.0,Monkey D. Luffy,Monkey D. Luffy,,Orange Town
14.0,Roronoa Zoro,Roronoa Zoro,,Orange Town
14.0,Nami,Nami,,Orange Town
14.0,Buggy,Buggy,,Orange Town
14.0,Mohji,Mohji,,Orange Town
14.0,Richie (K.O),Richie ,K.O,Orange Town
14.0,Acrobatic Fuwas,Acrobatic Fuwas,,Orange Town
14.0,Boodle,Boodle,,Orange Town
14.0,Chouchou,Chouchou,,Orange Town
14.0,Poro,Poro,,Orange Town
15.0,Monkey D. Luffy,Monkey D. Luffy,,Orange Town
15.0,Roronoa Zoro,Roronoa Zoro,,Orange Town
15.0,Nami,Nami,,Orange Town
15.0,Buggy,Buggy,,Orange Town
15.0,Cabaji,Cabaji,,Orange Town
15.0,Acrobatic Fuwas,Acrobatic Fuwas,,Orange Town
15.0,Boodle,Boodle,,Orange Town
16.0,Monkey D. Luffy,Monkey D. Luffy,,Orange Town
16.0,Roronoa Zoro,Roronoa Zoro,,Orange Town
16.0,Nami,Nami,,Orange Town
16.0,Buggy,Buggy,,Orange Town
16.0,Mohji,Mohji,,Orange Town
16.0,Richie,Richie,,Orange Town
16.0,Cabaji,Cabaji,,Orange Town
16.0,Acrobatic Fuwas (K.O),Acrobatic Fuwas ,K.O,Orange Town
16.0,Boodle (K.O),Boodle ,K.O,Orange Town
17.0,Monkey D. Luffy,Monkey D. Luffy,,Orange Town
17.0,Roronoa Zoro,Roronoa Zoro,,Orange Town
17.0,Nami,Nami,,Orange Town
17.0,Buggy,Buggy,,Orange Town
17.0,Cabaji,Cabaji,,Orange Town
17.0,Acrobatic Fuwas (K.O),Acrobatic Fuwas ,K.O,Orange Town
18.0,Monkey D. Luffy,Monkey D. Luffy,,Orange Town
18.0,Roronoa Zoro (K.O),Roronoa Zoro ,K.O,Orange Town
18.0,Nami,Nami,,Orange Town
18.0,Shanks (flashback),Shanks ,flashback,Orange Town
18.0,Buggy,Buggy,,Orange Town
18.0,Mohji (K.O),Mohji ,K.O,Orange Town
18.0,Cabaji (K.O),Cabaji ,K.O,Orange Town
18.0,Acrobatic Fuwas,Acrobatic Fuwas,,Orange Town
18.0,Boodle (K.O),Boodle ,K.O,Orange Town
19.0,Monkey D. Luffy,Monkey D. Luffy,,Orange Town
19.0,Nami,Nami,,Orange Town
19.0,Buggy,Buggy,,Orange Town
19.0,Acrobatic Fuwas,Acrobatic Fuwas,,Orange Town
19.0,Silvers Rayleigh (unnamed) (flashback),Silvers Rayleigh ,unnamed ,Orange Town
19.0,Scopper Gaban (unnamed) (flashback),Scopper Gaban ,unnamed ,Orange Town
19.0,Shanks (flashback),Shanks ,flashback,Orange Town
19.0,Boodle (K.O),Boodle ,K.O,Orange Town
19.0,Poro,Poro,,Orange Town
20.0,Monkey D. Luffy,Monkey D. Luffy,,Orange Town
20.0,Roronoa Zoro (cover),Roronoa Zoro ,cover,Orange Town
20.0,Nami,Nami,,Orange Town
20.0,Buggy,Buggy,,Orange Town
21.0,Monkey D. Luffy,Monkey D. Luffy,,Orange Town
21.0,Roronoa Zoro,Roronoa Zoro,,Orange Town
21.0,Nami,Nami,,Orange Town
21.0,Mohji (K.O),Mohji ,K.O,Orange Town
21.0,Cabaji (K.O),Cabaji ,K.O,Orange Town
21.0,Tightrope Walking Funan Bros,Tightrope Walking Funan Bros,,Orange Town
21.0,Acrobatic Fuwas,Acrobatic Fuwas,,Orange Town
21.0,Boodle,Boodle,,Orange Town
21.0,Chouchou,Chouchou,,Orange Town
21.0,Poro,Poro,,Orange Town
22.0,Monkey D. Luffy,Monkey D. Luffy,,Syrup Village
22.0,Roronoa Zoro,Roronoa Zoro,,Syrup Village
22.0,Nami,Nami,,Syrup Village
22.0,Gaimon,Gaimon,,Syrup Village
22.0,Cocox,Cocox,,Syrup Village
22.0,Usagihebi,Usagihebi,,Syrup Village
22.0,Lionbuta,Lionbuta,,Syrup Village
22.0,Kirinkodanuki,Kirinkodanuki,,Syrup Village
23.0,Monkey D. Luffy,Monkey D. Luffy,,Syrup Village
23.0,Roronoa Zoro,Roronoa Zoro,,Syrup Village
23.0,Nami,Nami,,Syrup Village
23.0,Kaya,Kaya,,Syrup Village
23.0,Klahadore (shadowed),Klahadore ,shadowed,Syrup Village
23.0,Mornin,Mornin,,Syrup Village
23.0,Usopp,Usopp,,Syrup Village
23.0,Piiman,Piiman,,Syrup Village
23.0,Ninjin,Ninjin,,Syrup Village
23.0,Tamanegi,Tamanegi,,Syrup Village
24.0,Monkey D. Luffy,Monkey D. Luffy,,Syrup Village
24.0,Roronoa Zoro,Roronoa Zoro,,Syrup Village
24.0,Nami,Nami,,Syrup Village
24.0,Kaya,Kaya,,Syrup Village
24.0,Klahadore,Klahadore,,Syrup Village
24.0,Merry,Merry,,Syrup Village
24.0,Usopp,Usopp,,Syrup Village
24.0,Piiman,Piiman,,Syrup Village
24.0,Ninjin,Ninjin,,Syrup Village
24.0,Tamanegi,Tamanegi,,Syrup Village
25.0,Monkey D. Luffy,Monkey D. Luffy,,Syrup Village
25.0,Roronoa Zoro,Roronoa Zoro,,Syrup Village
25.0,Nami,Nami,,Syrup Village
25.0,Yasopp (flashback),Yasopp ,flashback,Syrup Village
25.0,Lucky Roux (flashback),Lucky Roux ,flashback,Syrup Village
25.0,Jango,Jango,,Syrup Village
25.0,Kaya,Kaya,,Syrup Village
25.0,Klahadore,Klahadore,,Syrup Village
25.0,Usopp,Usopp,,Syrup Village
25.0,Piiman,Piiman,,Syrup Village
25.0,Ninjin,Ninjin,,Syrup Village
25.0,Tamanegi,Tamanegi,,Syrup Village
26.0,Monkey D. Luffy,Monkey D. Luffy,,Syrup Village
26.0,Roronoa Zoro,Roronoa Zoro,,Syrup Village
26.0,Nami,Nami,,Syrup Village
26.0,Kuro,Kuro,,Syrup Village
26.0,Jango,Jango,,Syrup Village
26.0,Kaya,Kaya,,Syrup Village
26.0,Merry,Merry,,Syrup Village
26.0,Usopp,Usopp,,Syrup Village
26.0,Piiman,Piiman,,Syrup Village
26.0,Ninjin,Ninjin,,Syrup Village
26.0,Tamanegi,Tamanegi,,Syrup Village
27.0,Monkey D. Luffy,Monkey D. Luffy,,Syrup Village
27.0,Roronoa Zoro,Roronoa Zoro,,Syrup Village
27.0,Nami,Nami,,Syrup Village
27.0,Kaya,Kaya,,Syrup Village
27.0,Merry,Merry,,Syrup Village
27.0,Usopp,Usopp,,Syrup Village
27.0,Piiman,Piiman,,Syrup Village
27.0,Ninjin,Ninjin,,Syrup Village
27.0,Tamanegi,Tamanegi,,Syrup Village
28.0,Monkey D. Luffy,Monkey D. Luffy,,Syrup Village
28.0,Roronoa Zoro,Roronoa Zoro,,Syrup Village
28.0,Nami,Nami,,Syrup Village
28.0,Shanks (cover),Shanks ,cover,Syrup Village
28.0,Kuro,Kuro,,Syrup Village
28.0,Jango,Jango,,Syrup Village
28.0,Kaya,Kaya,,Syrup Village
28.0,Merry,Merry,,Syrup Village
28.0,Usopp,Usopp,,Syrup Village
29.0,Monkey D. Luffy,Monkey D. Luffy,,Syrup Village
29.0,Roronoa Zoro,Roronoa Zoro,,Syrup Village
29.0,Nami,Nami,,Syrup Village
29.0,Jango,Jango,,Syrup Village
29.0,Usopp,Usopp,,Syrup Village
30.0,Monkey D. Luffy,Monkey D. Luffy,,Syrup Village
30.0,Roronoa Zoro,Roronoa Zoro,,Syrup Village
30.0,Nami,Nami,,Syrup Village
30.0,Kuro,Kuro,,Syrup Village
30.0,Jango,Jango,,Syrup Village
30.0,Merry (K.O),Merry ,K.O,Syrup Village
30.0,Usopp,Usopp,,Syrup Village
30.0,Tamanegi,Tamanegi,,Syrup Village
31.0,Monkey D. Luffy (K.O),Monkey D. Luffy ,K.O,Syrup Village
31.0,Roronoa Zoro,Roronoa Zoro,,Syrup Village
31.0,Nami,Nami,,Syrup Village
31.0,Kuro (flashback),Kuro ,flashback,Syrup Village
31.0,Jango,Jango,,Syrup Village
